Name,Path,File type,Cyclomatic Complexity,Total lines,Empty Lines,Effective Lines,Comment Lines
COUSR03.CPY,demo/cpy-bms/COUSR03.CPY,CPY,0,153,1,136,16
INTRDRJ1.JCL,demo/jcl/INTRDRJ1.JCL,JCL,0,20,1,14,5
AWS.M2.CARDDEMO.EXPORT.DATA.PS,demo/data/EBCDIC/AWS.M2.CARDDEMO.EXPORT.DATA.PS,BINARY,0,0,0,0,0
AWS.M2.CARDDEMO.USRSEC.PS,demo/data/EBCDIC/AWS.M2.CARDDEMO.USRSEC.PS,BINARY,0,0,0,0,0
AWS.M2.CARDDEMO.CARDXREF.PS,demo/data/EBCDIC/AWS.M2.CARDDEMO.CARDXREF.PS,BINARY,0,0,0,0,0
AWS.M2.CARDDEMO.TRANTYPE.PS,demo/data/EBCDIC/AWS.M2.CARDDEMO.TRANTYPE.PS,BINARY,0,0,0,0,0
COTRN02.CPY,demo/cpy-bms/COTRN02.CPY,CPY,0,273,1,256,16
AWS.M2.CARDDEMO.DALYTRAN.PS,demo/data/EBCDIC/AWS.M2.CARDDEMO.DALYTRAN.PS,BINARY,0,0,0,0,0
CLOSEFIL.jcl,demo/jcl/CLOSEFIL.jcl,JCL,0,35,1,12,22
DISCGRP.jcl,demo/jcl/DISCGRP.jcl,JCL,0,66,1,36,29
COADM01.CPY,demo/cpy-bms/COADM01.CPY,CPY,0,261,1,244,16
ACCTFILE.jcl,demo/jcl/ACCTFILE.jcl,JCL,1,66,1,36,29
COUSR00.CPY,demo/cpy-bms/COUSR00.CPY,CPY,0,729,1,712,16
COACTUP.CPY,demo/cpy-bms/COACTUP.CPY,CPY,0,669,1,652,16
carddata.txt,demo/data/ASCII/carddata.txt,UNKNOWN,0,50,0,50,0
CARDFILE.jcl,demo/jcl/CARDFILE.jcl,JCL,2,129,1,82,46
COUSR02.CPY,demo/cpy-bms/COUSR02.CPY,CPY,0,165,1,148,16
CVTRA05Y.cpy,demo/cpy/CVTRA05Y.cpy,CPY,0,22,1,15,6
AWS.M2.CARDDEMO.TCATBALF.PS,demo/data/EBCDIC/AWS.M2.CARDDEMO.TCATBALF.PS,BINARY,0,0,0,0,0
CSSETATY.cpy,demo/cpy/CSSETATY.cpy,CPY,2,31,1,10,20
tcatbal.txt,demo/data/ASCII/tcatbal.txt,UNKNOWN,0,50,0,50,0
CARDDEMO.CSD,demo/csd/CARDDEMO.CSD,CSDCOMMAND,0,505,0,505,0
dailytran.txt,demo/data/ASCII/dailytran.txt,UNKNOWN,0,300,0,300,0
discgrp.txt,demo/data/ASCII/discgrp.txt,UNKNOWN,0,51,0,51,0
CBADMCDJ.jcl,demo/jcl/CBADMCDJ.jcl,JCL,0,168,20,122,26
acctdata.txt,demo/data/ASCII/acctdata.txt,UNKNOWN,0,50,0,50,0
AWS.M2.CARDDEMO.TRANCATG.PS,demo/data/EBCDIC/AWS.M2.CARDDEMO.TRANCATG.PS,BINARY,0,0,0,0,0
AWS.M2.CARDDEMO.CARDDATA.PS,demo/data/EBCDIC/AWS.M2.CARDDEMO.CARDDATA.PS,BINARY,0,0,0,0,0
CVACT01Y.cpy,demo/cpy/CVACT01Y.cpy,CPY,0,21,1,14,6
UNUSED1Y.cpy,demo/cpy/UNUSED1Y.cpy,CPY,0,11,1,7,3
COBIL00.CPY,demo/cpy-bms/COBIL00.CPY,CPY,0,141,1,124,16
trantype.txt,demo/data/ASCII/trantype.txt,UNKNOWN,0,7,0,7,0
trancatg.txt,demo/data/ASCII/trancatg.txt,UNKNOWN,0,18,0,18,0
